Fiscal Year, Office , Description , Receipts , Approvals , Denials , Pending , Receipts , Approvals , Denials , Pending , Receipts , Completions , Pending 
,,,,,,,,,,,,,
2011,LOU,LOUISVILLE KY ,"2,892","2,562",200,"1,307",205,212,26,70,"3,097","3,000","1,377"
,,,,,,,,,,,,,
2011,LVG,LAS VEGAS NV ,"7,569","7,259",705,"2,885",48,68,5,19,"7,617","8,037","2,904"
,,,,,,,,,,,,,
2011,MAN,MANCHESTER NH ,"1,560","1,560",83,390,11,11,1,4,"1,571","1,655",394
,,,,,,,,,,,,,
2011,MEM,MEMPHIS TN ,"6,403","6,299",547,"2,498",48,53,3,15,"6,451","6,902","2,513"
,,,,,,,,,,,,,
2011,MIA,MIAMI FL ,"13,491","12,126",867,"5,994",36,12,8,17,"13,527","13,013","6,011"
,,,,,,,,,,,,,
2011,MIL,MILWAUKEE WI ,"4,128","3,948",271,"1,666",17,15,1,7,"4,145","4,235","1,673"
,,,,,,,,,,,,,
2011,MTL,MOUNT LAUREL NJ,"5,838","5,745",391,"1,781",36,23,3,14,"5,874","6,162","1,795"
,,,,,,,,,,,,,
2011,NEW,NEWARK NJ ,"32,057","28,768","3,295","12,311",100,132,17,26,"32,157","32,212","12,337"
,,,,,,,,,,,,,
2011,NOL,NEW ORLEANS LA ,"3,563","3,069",332,"1,226",89,101,1,32,"3,652","3,503","1,258"
,,,,,,,,,,,,,
2011,NOR,NORFOLK VA ,"3,584","3,106",166,"1,626",586,915,96,174,"4,170","4,283","1,800"
,,,,,,,,,,,,,
2011,NYC,NEW YORK NY ,"67,690","42,836","3,438","32,093",188,174,38,367,"67,878","46,486","32,460"
,,,,,,,,,,,,,
2011,OKC,OKLAHOMA CITY OK ,"2,579","2,343",251,"1,116",751,591,25,163,"3,330","3,210","1,279"
,,,,,,,,,,,,,
2011,OKL,OAKLAND PARK FL,"14,444","14,002",878,"5,250",58,57,15,19,"14,502","14,952","5,269"
,,,,,,,,,,,,,
2011,OMA,OMAHA NE ,"2,486","2,227",201,716,24,11,1,16,"2,510","2,440",732
,,,,,,,,,,,,,
2011,ORL,ORLANDO FL ,"11,507","10,635","1,096","4,238",47,46,4,12,"11,554","11,781","4,250"
,,,,,,,,,,,,,
2011,PHI,PHILADELPHI PA ,"16,354","15,671","1,110","6,325",68,76,3,37,"16,422","16,860","6,362"
,,,,,,,,,,,,,
2011,PHO,PHOENIX AZ ,"10,880","10,251","1,110","4,326",57,57,19,9,"10,937","11,437","4,335"
,,,,,,,,,,,,,
2011,PIT,PITTSBURGH PA ,"2,463","2,309",85,"1,060",10,14,1,3,"2,473","2,409","1,063"
,,,,,,,,,,,,,
2011,POM,PORTLAND ME ,"1,061",985,29,303,10,10, -   ,4,"1,071","1,024",307
,,,,,,,,,,,,,
2011,POO,PORTLAND OR ,"7,084","6,666",295,"2,472",29,34,3,12,"7,113","6,998","2,484"
,,,,,,,,,,,,,
2011,PRO,PROVIDENCE RI ,"2,656","2,621",269,638,23,25,1,1,"2,679","2,916",639
,,,,,,,,,,,,,
2011,RAL,RALEIGH NC,"5,510","5,578",307,"1,669",364,288,21,240,"5,874","6,194","1,909"
,,,,,,,,,,,,,
2011,REN,RENO NV ,"1,189","1,219",98,397,10,15, -   ,1,"1,199","1,332",398
,,,,,,,,,,,,,
2011,SAA,SANTA ANA CA,"14,047","12,628","1,132","7,507",60,27,1,18,"14,107","13,788","7,525"
,,,,,,,,,,,,,
2011,SAC,SACRAMENTO CA ,"16,481","13,381",950,"6,957",80,95,12,16,"16,561","14,438","6,973"
,,,,,,,,,,,,,
2011,SAJ,SAN JUAN PR ,"1,909","1,678",151,591,13,15,1,2,"1,922","1,845",593
,,,,,,,,,,,,,
2011,SBD,SAN BERNADINO CA,"12,541","11,892","1,102","5,649",164,162,18,48,"12,705","13,174","5,697"
,,,,,,,,,,,,,
2011,SEA,SEATTLE WA ,"14,153","13,430",946,"3,848",220,261,5,40,"14,373","14,642","3,888"
,,,,,,,,,,,,,
2011,SFR,SAN FRAN. CA ,"22,962","22,589","1,581","7,791",62,84,14,19,"23,024","24,268","7,810"
,,,,,,,,,,,,,
2011,SFV,SAN FERNANDO VALLEY CA,"16,558","12,987",998,"8,724",61,27,4,24,"16,619","14,016","8,748"
,,,,,,,,,,,,,
2011,SLC,SALT LAKE CITY UT ,"4,008","3,558",230,"1,676",16,17, -   ,6,"4,024","3,805","1,682"
,,,,,,,,,,,,,
2011,SNA,SAN ANTONIO TX ,"9,780","9,499",836,"2,996",377,446,4,111,"10,157","10,785","3,107"
,,,,,,,,,,,,,
2011,SND,SAN DIEGO CA ,"5,997","6,198",121,"2,157",512,595,16,108,"6,509","6,930","2,265"
,,,,,,,,,,,,,
2011,SNJ,SAN JOSE CA ,"14,570","14,053",710,"4,613",39,32,3,12,"14,609","14,798","4,625"
,,,,,,,,,,,,,
2011,SPM,ST PAUL MN ,"13,186","11,619","1,549","5,210",57,38,18,31,"13,243","13,224","5,241"
,,,,,,,,,,,,,
2011,SPO,SPOKANE WA ,871,807,66,333,12,10,3,2,883,886,335
,,,,,,,,,,,,,
2011,STA,ST ALBANS VT ,483,430,27,194,5,5,1,2,488,463,196
