,,, Applications Received2 , Approved3 , Denied4 , Pending5 , Applications Received2 , Approved3 , Denied4 , Pending5 , Applications Received2 , Approved3 , Denied4 , Pending5 
,,,,,,,,,,,,,,
 Total ,,,"218,248","174,984","22,599","747,383",661,420,76,"5,969","218,909","175,404","22,675","753,352"
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
 Field Office by State6 ,, Field Office Code ,,,,,,,,,,,,
,,,,,,,,,,,,,,
 Alabama ,,,,,,,,,,,,,,
,Nairobi,, N/A , N/A , N/A , N/A ,,,,, -   , -   , -   , -   
,,,,,,,,,,,,,,
Mexico,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Ciudad Juarez,, N/A , N/A , N/A , N/A ,,,,, -   , -   , -   , -   
,,,,,,,,,,,,,,
,Mexico City,, N/A , N/A , N/A , N/A ,,,,, -   , -   , -   , -   
,,,,,,,,,,,,,,
,Monterrey,, N/A , N/A , N/A , N/A ,,,,, -   , -   , -   , -   
,,,,,,,,,,,,,,
Peru,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Lima,, N/A , N/A , N/A , N/A ,,,,, -   , -   , -   , -   
,,,,,,,,,,,,,,
Philippines,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Manila,, N/A , N/A , N/A , N/A , -   , D , -   , -   , -   , D , -   , -   
,,,,,,,,,,,,,,
Russia,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Moscow,, N/A , N/A , N/A , N/A ,,,,, -   , -   , -   , -   
,,,,,,,,,,,,,,
South Africa,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Johannesburg,, N/A , N/A , N/A , N/A ,,,,, -   , -   , -   , -   
,,,,,,,,,,,,,,
South Korea,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Seoul,, N/A , N/A , N/A , N/A ,22,27, -   ,27,22,27, -   ,27
,,,,,,,,,,,,,,
Thailand,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Bangkok,, N/A , N/A , N/A , N/A ,,,,, -   , -   , -   , -   
,,,,,,,,,,,,,,
United Kingdom,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,London,, N/A , N/A , N/A , N/A ,D,0, -   ,D, D , -   , -   , D 
